"ts","live","ended","period","elapsed","score","best_bid","best_ask","last_trade","spread"
"1/23/2026, 1:25:52 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:25:47 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:25:39 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:25:22 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:25:17 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:25:10 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:52 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:47 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:39 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:22 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:17 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:24:10 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:52 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:47 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:38 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:19 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:17 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:23:08 AM","","","","","","0.91","0.92","0.92","0.010"
"1/23/2026, 1:22:49 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:22:48 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:22:38 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:22:20 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:22:15 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:22:08 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:21:50 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:21:45 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:21:37 AM","","","","","","0.89","0.91","0.91","0.020"
"1/23/2026, 1:21:19 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:21:14 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:21:07 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:50 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:44 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:37 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:20 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:15 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:20:07 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:19:49 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:19:44 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:19:21 AM","","","","","","0.9","0.91","0.92","0.010"
"1/23/2026, 1:19:14 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:19:08 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:50 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:46 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:39 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:24 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:17 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:18:07 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:17:50 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:17:45 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:17:37 AM","","","","","","0.9","0.91","0.91","0.010"
"1/23/2026, 1:17:20 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:17:15 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:17:09 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:53 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:47 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:40 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:20 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:17 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:16:10 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:54 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:47 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:38 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:19 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:14 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:15:07 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:49 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:44 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:37 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:19 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:14 AM","","","","","","0.9","0.91","0.9","0.010"
"1/23/2026, 1:14:07 AM","","","","","","0.9","0.91","0.9","0.010"
